	benloew	boeckh	bothe	brown	colonna	dain	dawe	griffith	hermann	jebb	lj	pearson	reinhardt	storr
benloew	0.0	0.02582456140350877	0.018537291817523532	0.06854029251505592	0.0250779257580051	0.025049814972957586	0.06456241032998565	0.06625906441063557	0.03266049901878329	0.026915993766822497	0.02936942124964008	0.027916251246261216	0.06332002281802625	0.025732158089280636
boeckh	0.02582456140350877	0.0	0.0290045182917942	0.055531824006834686	0.012906846240179574	0.013082008721339147	0.05168475157053112	0.05270614905072259	0.014958448753462604	0.013873318385650224	0.015061096902529127	0.016286644951140065	0.05090960372302919	0.013078329348896077
bothe	0.018537291817523532	0.0290045182917942	0.0	0.07077931753836984	0.02772043644942495	0.028495496825631184	0.06687612208258528	0.06835066864784546	0.03510049519370813	0.02879811930649427	0.03208556149732621	0.030419943611811842	0.0664496078141187	0.028461878778941158
brown	0.06854029251505592	0.055531824006834686	0.07077931753836984	0.0	0.05370448474623928	0.05250563063063063	0.007455474251000967	0.012489592006661115	0.06352371457057399	0.05119932669378594	0.05221785513756317	0.0540427314620863	0.011335012594458438	0.052438680575133914
colonna	0.0250779257580051	0.012906846240179574	0.02772043644942495	0.05370448474623928	0.0	0.0021938845468257233	0.04891762721394433	0.04901824258459825	0.02102017937219731	0.006948304613674263	0.007000840100812098	0.007957559681697613	0.047460910474609104	0.0050230221850146506
dain	0.025049814972957586	0.013082008721339147	0.028495496825631184	0.05250563063063063	0.0021938845468257233	0.0	0.04802696250526611	0.04827008928571429	0.021772720887765135	0.006966699177929497	0.006882022471910112	0.007705239562902774	0.047257150753074476	0.005164712451144612
dawe	0.06456241032998565	0.05168475157053112	0.06687612208258528	0.007455474251000967	0.04891762721394433	0.04802696250526611	0.0	0.007763759877998059	0.05962910128388017	0.046214355948869225	0.049719101123595504	0.04932234176330865	0.006852188505104181	0.04696755994358251
griffith	0.06625906441063557	0.05270614905072259	0.06835066864784546	0.012489592006661115	0.04901824258459825	0.04827008928571429	0.007763759877998059	0.0	0.061126081406892636	0.04697518817953722	0.04717764250138351	0.051402514854221364	0.008214981899192425	0.047692307692307694
hermann	0.03266049901878329	0.014958448753462604	0.03510049519370813	0.06352371457057399	0.02102017937219731	0.021772720887765135	0.05962910128388017	0.061126081406892636	0.0	0.022459292532285232	0.02504268639726807	0.025117071094082587	0.059545646959221106	0.022231602645279302
jebb	0.026915993766822497	0.013873318385650224	0.02879811930649427	0.05119932669378594	0.006948304613674263	0.006966699177929497	0.046214355948869225	0.04697518817953722	0.022459292532285232	0.0	0.007427130044843049	0.006019879602407952	0.04607911172796669	0.007535278805315797
lj	0.02936942124964008	0.015061096902529127	0.03208556149732621	0.05221785513756317	0.007000840100812098	0.006882022471910112	0.049719101123595504	0.04717764250138351	0.02504268639726807	0.007427130044843049	0.0	0.007283933323994957	0.04880100967606226	0.008157524613220815
pearson	0.027916251246261216	0.016286644951140065	0.030419943611811842	0.0540427314620863	0.007957559681697613	0.007705239562902774	0.04932234176330865	0.051402514854221364	0.025117071094082587	0.006019879602407952	0.007283933323994957	0.0	0.04894714823595035	0.009122807017543859
reinhardt	0.06332002281802625	0.05090960372302919	0.0664496078141187	0.011335012594458438	0.047460910474609104	0.047257150753074476	0.006852188505104181	0.008214981899192425	0.059545646959221106	0.04607911172796669	0.04880100967606226	0.04894714823595035	0.0	0.04524571905888904
storr	0.025732158089280636	0.013078329348896077	0.028461878778941158	0.052438680575133914	0.0050230221850146506	0.005164712451144612	0.04696755994358251	0.047692307692307694	0.022231602645279302	0.007535278805315797	0.008157524613220815	0.009122807017543859	0.04524571905888904	0.0
